Group,Side,Target,Date
itarmyofukraine2022,PRO-UA,https://express-shina.ru/,2022-09-17 11:30:19
itarmyofukraine2022,PRO-UA,https://shinservice.ru/,2022-09-17 11:30:19
itarmyofukraine2022,PRO-UA,Exist.ru,2022-09-16 11:54:34
itarmyofukraine2022,PRO-UA,autodoc.ru,2022-09-16 11:54:34
itarmyofukraine2022,PRO-UA,Exist.ru,2022-09-16 11:54:34
itarmyofukraine2022,PRO-UA,autodoc.ru,2022-09-16 11:54:34
itarmyofukraine2022,PRO-UA,Exist.ru,2022-09-16 07:00:04
itarmyofukraine2022,PRO-UA,Exist.ru,2022-09-16 07:00:04
itarmyofukraine2022,PRO-UA,aif.ru,2022-09-14 07:00:38
itarmyofukraine2022,PRO-UA,https://downradar.ru/ne-rabotaet/drom.ru,2022-09-12 06:58:10
itarmyofukraine2022,PRO-UA,Lenta.ru,2022-09-04 17:15:43
itarmyofukraine2022,PRO-UA,Gazeta.Ru,2022-09-04 17:15:43
itarmyofukraine2022,PRO-UA,Lenta.ru,2022-09-04 17:15:43
itarmyofukraine2022,PRO-UA,https://check-host.net/check-report/bf7820ekd0d,2022-08-27 11:45:47
itarmyofukraine2022,PRO-UA,https://check-host.net/check-report/bf8a4e9k883,2022-08-27 11:45:47
itarmyofukraine2022,PRO-UA,https://check-host.net/check-report/bf76d2dk78a,2022-08-27 11:45:47
itarmyofukraine2022,PRO-UA,https://check-host.net/check-report/bf76e98kdf5,2022-08-27 11:45:47
itarmyofukraine2022,PRO-UA,https://check-host.net/check-report/bf770aakee4,2022-08-27 11:45:47
itarmyofukraine2022,PRO-UA,https://check-host.net/check-report/bfa95b3kd37,2022-08-27 11:45:47
itarmyofukraine2022,PRO-UA,"https://ria.ru/),",2022-08-25 15:33:07
itarmyofukraine2022,PRO-UA,https://ria.ru/,2022-08-25 15:33:07
itarmyofukraine2022,PRO-UA,https://tass.ru/,2022-08-25 09:30:27
itarmyofukraine2022,PRO-UA,https://autodiscover.tass.ru,2022-08-25 09:30:27
itarmyofukraine2022,PRO-UA,https://safephone.tass.ru,2022-08-25 09:30:27
itarmyofukraine2022,PRO-UA,https://spec-pluton-strapi.tass.ru,2022-08-25 09:30:27
itarmyofukraine2022,PRO-UA,https://monitoring.tass.ru,2022-08-25 09:30:27
itarmyofukraine2022,PRO-UA,https://sso.tass.ru,2022-08-25 09:30:27
itarmyofukraine2022,PRO-UA,185.71.67.4,2022-08-25 09:30:27
itarmyofukraine2022,PRO-UA,194.28.239.160,2022-08-25 09:30:27
itarmyofukraine2022,PRO-UA,194.28.239.164,2022-08-25 09:30:27
itarmyofukraine2022,PRO-UA,185.71.67.4,2022-08-25 09:30:27
itarmyofukraine2022,PRO-UA,185.71.67.150,2022-08-25 09:30:27
itarmyofukraine2022,PRO-UA,194.28.236.4,2022-08-25 09:30:27
itarmyofukraine2022,PRO-UA,194.28.236.6,2022-08-25 09:30:27
itarmyofukraine2022,PRO-UA,194.28.236.27,2022-08-25 09:30:27
itarmyofukraine2022,PRO-UA,194.28.236.28,2022-08-25 09:30:27
itarmyofukraine2022,PRO-UA,194.28.236.42,2022-08-25 09:30:27
itarmyofukraine2022,PRO-UA,194.28.236.50,2022-08-25 09:30:27
itarmyofukraine2022,PRO-UA,194.28.236.51,2022-08-25 09:30:27
itarmyofukraine2022,PRO-UA,194.28.236.55,2022-08-25 09:30:27
itarmyofukraine2022,PRO-UA,194.28.236.87,2022-08-25 09:30:27
itarmyofukraine2022,PRO-UA,194.28.236.88,2022-08-25 09:30:27
itarmyofukraine2022,PRO-UA,194.28.236.185,2022-08-25 09:30:27
itarmyofukraine2022,PRO-UA,194.28.236.194,2022-08-25 09:30:27
itarmyofukraine2022,PRO-UA,194.28.236.195,2022-08-25 09:30:27
itarmyofukraine2022,PRO-UA,194.28.237.227,2022-08-25 09:30:27
itarmyofukraine2022,PRO-UA,194.28.237.228,2022-08-25 09:30:27
itarmyofukraine2022,PRO-UA,194.28.238.68,2022-08-25 09:30:27
itarmyofukraine2022,PRO-UA,194.28.239.11,2022-08-25 09:30:27
itarmyofukraine2022,PRO-UA,194.28.239.12,2022-08-25 09:30:27
itarmyofukraine2022,PRO-UA,194.28.239.21,2022-08-25 09:30:27
itarmyofukraine2022,PRO-UA,194.28.239.37,2022-08-25 09:30:27
itarmyofukraine2022,PRO-UA,194.28.239.43,2022-08-25 09:30:27
